"name"                                                                                      ,"source"    ,"page" ,"rarity"          ,"reqAttune"                                                       ,"reqAttuneTags" ,"wondrous" ,"bonusSpellAttack" ,"bonusSpellSaveDc" ,"focus" ,"entries"
"+1 All-Purpose Tool"                                                                       ,"TCE"       ,"119"  ,"uncommon"        ,"by an artificer"                                                 ,""              ,"true"     ,"+1"               ,"+1"               ,""      ,""
"+1 Amulet of the Devout"                                                                   ,"TCE"       ,"119"  ,"uncommon"        ,"by a cleric or paladin"                                          ,""              ,"true"     ,"+1"               ,"+1"               ,""      ,""
"+1 Arcane Grimoire"                                                                        ,"TCE"       ,"120"  ,"uncommon"        ,"by a wizard"                                                     ,""              ,"true"     ,"+1"               ,"+1"               ,""      ,""
"+1 Bloodwell Vial"                                                                         ,"TCE"       ,"122"  ,"uncommon"        ,"by a sorcerer"                                                   ,""              ,"true"     ,"+1"               ,"+1"               ,""      ,""
"+1 Dragonhide Belt"                                                                        ,"FTD"       ,"23"   ,"uncommon"        ,"by a monk"                                                       ,""              ,"true"     ,""                 ,""                 ,""      ,""
"+1 Fate Dealer's Deck"                                                                     ,"BMT"       ,"61"   ,"rare"            ,"by a cleric or paladin"                                          ,""              ,"true"     ,"+1"               ,"+1"               ,""      ,""
"+1 Moon Sickle"                                                                            ,"TCE"       ,"133"  ,"uncommon"        ,"by a druid or ranger"                                            ,""              ,""         ,"+1"               ,"+1"               ,""      ,""
"+1 Rhythm-Maker's Drum"                                                                    ,"TCE"       ,"134"  ,"uncommon"        ,"by a bard"                                                       ,""              ,"true"     ,"+1"               ,"+1"               ,""      ,""
"+1 Rod of the Pact Keeper"                                                                 ,"DMG"       ,"197"  ,"uncommon"        ,"by a warlock"                                                    ,""              ,""         ,"+1"               ,"+1"               ,""      ,""
"+1 Wand of the War Mage"                                                                   ,"DMG"       ,"212"  ,"uncommon"        ,"by a spellcaster"                                                ,""              ,""         ,"+1"               ,""                 ,""      ,""
"+1 Wraps of Unarmed Prowess"                                                               ,"BMT"       ,"69"   ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"+2 All-Purpose Tool"                                                                       ,"TCE"       ,"119"  ,"rare"            ,"by an artificer"                                                 ,""              ,"true"     ,"+2"               ,"+2"               ,""      ,""
"+2 Amulet of the Devout"                                                                   ,"TCE"       ,"119"  ,"rare"            ,"by a cleric or paladin"                                          ,""              ,"true"     ,"+2"               ,"+2"               ,""      ,""
"+2 Arcane Grimoire"                                                                        ,"TCE"       ,"120"  ,"rare"            ,"by a wizard"                                                     ,""              ,"true"     ,"+2"               ,"+2"               ,""      ,""
